id,name,gender,year_of_birth,year_of_death,city_of_birth,state_of_birth,city_of_death,state_of_death,url
0,"Abbey, Edwin Austin",M,1852,1911,Philadelphia,United States,London,United Kingdom,http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
1,"Abbott, Lemuel Francis",M,1760,1803,Leicestershire,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
2,"Agasse, Jacques Laurent",M,1767,1849,Genève,Schweiz,London,United Kingdom,http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
3,"Alken, Henry Thomas",M,1785,1851,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/henry-thomas-alken-3
4,"Allan, Sir William",M,1782,1850,Edinburgh,United Kingdom,Edinburgh,United Kingdom,http://www.tate.org.uk/art/artists/sir-william-allan-4
5,"Allen, Joseph William",M,1803,1852,Lambeth,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/joseph-william-allen-5
6,"Alma-Tadema, Sir Lawrence",M,1836,1912,Dronrijp,Nederland,Wiesbaden,Deutschland,http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
7,"Amiconi, Giacomo",M,1682,1752,Napoli,Italia,Madrid,España,http://www.tate.org.uk/art/artists/giacomo-amiconi-7
8,"Anderton, Henry",M,1630,1665,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-anderton-8
9,"Angellis, Peter",M,1685,1734,Dunkerque,France,Rennes,France,http://www.tate.org.uk/art/artists/peter-angellis-9
10,"Ansdell, Richard",M,1815,1885,Liverpool,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/richard-ansdell-10
11,"Armitage, Edward",M,1817,1896,London,United Kingdom,Royal Tunbridge Wells,United Kingdom,http://www.tate.org.uk/art/artists/edward-armitage-11
12,"Armstead, Henry Hugh",M,1828,1905,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12
13,"Arnald, George",M,1763,1841,Berkshire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/george-arnald-13
14,"Atkins, Samuel",M,1787,1808,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/samuel-atkins-14
15,"Aumonier, James",M,1832,1911,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-aumonier-15
16,"Baily, Edward Hodges",M,1788,1867,Bristol,United Kingdom,Islington,United Kingdom,http://www.tate.org.uk/art/artists/edward-hodges-baily-16
18,"Barenger, James",M,1780,1831,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/james-barenger-18
19,"Barker, Thomas, of Bath",M,1769,1847,Pontypool,United Kingdom,Bath,United Kingdom,http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
20,"Barlow, Francis",M,1626,1704,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/francis-barlow-20
21,"Barret, George, Senior",M,1728,1784,Dublin,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/george-barret-senior-21
22,"Barret, George, Junior",M,1767,1842,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/george-barret-junior-22
23,"Barron, Hugh",M,1747,1791,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/hugh-barron-23
24,"Barry, James",M,1741,1806,Cork,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/james-barry-24
25,"Bateman, James",M,1815,1849,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-bateman-25
26,"Bates, Harry",M,1850,1899,Stevenage,United Kingdom,Saint John's Wood,United Kingdom,http://www.tate.org.uk/art/artists/harry-bates-26
27,"Beach, Thomas",M,1738,1806,Dorset,United Kingdom,Dorchester,Unknown,http://www.tate.org.uk/art/artists/thomas-beach-27
28,"Beare, George",M,1743,1749,Unknown,Unknown,Andover,United Kingdom,http://www.tate.org.uk/art/artists/george-beare-28
29,"Beaumont, Sir George Howland, Bt",M,1753,1827,Great Dunmow,United Kingdom,Leicestershire,United Kingdom,http://www.tate.org.uk/art/artists/sir-george-howland-beaumont-bt-29
30,"Beechey, Sir William",M,1753,1839,Burford,United Kingdom,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/sir-william-beechey-30
31,"Behnes, William",M,1795,1864,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/william-behnes-31
32,"Bell, John Zephaniah",M,1794,1883,Dundee,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-zephaniah-bell-32
33,"Bennett, William",M,1811,1871,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-bennett-33
34,"Bettes, John",M,1531,1570,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/john-bettes-34
35,"Bewick, Thomas",M,1753,1828,England,United Kingdom,Gateshead,Unknown,http://www.tate.org.uk/art/artists/thomas-bewick-35
36,"Bird, Edward",M,1762,1819,Wolverhampton,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/edward-bird-36
37,"Blake, Benjamin",M,1790,1830,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/benjamin-blake-37
38,"Blake, Robert",M,1762,1787,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/robert-blake-38
39,"Blake, William",M,1757,1827,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/william-blake-39
40,"Boehm, Sir Joseph Edgar",M,1834,1890,Wien,Österreich,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-joseph-edgar-boehm-40
41,"Bonington, Richard Parkes",M,1802,1828,Arnold,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/richard-parkes-bonington-41
42,"Borseller, Peter",M,1644,1687,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/peter-borseller-42
43,"Bough, Samuel",M,1822,1878,Carlisle,United Kingdom,Edinburgh,United Kingdom,http://www.tate.org.uk/art/artists/samuel-bough-43
44,"Boughton, George Henry",M,1833,1905,Norwich,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/george-henry-boughton-44
45,"Bower, Edward",M,1629,1667,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/edward-bower-45
46,"Bowler, Henry Alexander",M,1824,1903,Kensington,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/henry-alexander-bowler-46
47,"Boxall, Sir William",M,1800,1879,Oxford,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-william-boxall-47
48,"Boyce, George Price",M,1826,1897,Camden,United Kingdom,Chelsea,United Kingdom,http://www.tate.org.uk/art/artists/george-price-boyce-48
49,"Boys, Thomas Shotter",M,1803,1874,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/thomas-shotter-boys-49
50,"Brabazon, Hercules Brabazon",M,1821,1906,Paris,France,Unknown,Unknown,http://www.tate.org.uk/art/artists/hercules-brabazon-brabazon-50
51,"Bramley, Frank",M,1857,1915,Lincolnshire,United Kingdom,Chalford,United Kingdom,http://www.tate.org.uk/art/artists/frank-bramley-51
52,"Branwhite, Nathan",M,1813,1894,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/nathan-branwhite-52
53,"Brett, John",M,1831,1902,Reigate,United Kingdom,Putney,United Kingdom,http://www.tate.org.uk/art/artists/john-brett-53
54,"Bridell, Frederick Lee",M,1831,1863,Southampton,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/frederick-lee-bridell-54
55,"Briggs, Henry Perronet",M,1791,1844,England,United Kingdom,London,Unknown,http://www.tate.org.uk/art/artists/henry-perronet-briggs-55
56,British School 16th century,Unknown,1500,1599,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/british-school-16th-century-56
57,British School 17th century,Unknown,1600,1699,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/british-school-17th-century-57
58,British School 17th or 18th century,Unknown,1600,1799,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/british-school-17th-or-18th-century-58
59,British School 18th century,Unknown,1700,1799,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/british-school-18th-century-59
60,British School 19th century,Unknown,1800,1899,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/british-school-19th-century-60
61,British (?) School 19th century,Unknown,1800,1899,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/british-school-19th-century-61
62,"Brock, Sir Thomas",M,1847,1922,Worcester,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/sir-thomas-brock-62
63,"Brooke, William Henry",M,1772,1860,Dublin,Éire,Chichester,United Kingdom,http://www.tate.org.uk/art/artists/william-henry-brooke-63
64,"Brooking, Charles",M,1723,1759,Deptford,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/charles-brooking-64
65,"Brown, Ford Madox",M,1821,1893,Calais,France,London,United Kingdom,http://www.tate.org.uk/art/artists/ford-madox-brown-65
66,"Brown, Frederick",M,1851,1941,Chelmsford,United Kingdom,Surrey,United Kingdom,http://www.tate.org.uk/art/artists/frederick-brown-66
67,"Brown, Kellock",M,1856,1934,Glasgow,United Kingdom,Glasgow,United Kingdom,http://www.tate.org.uk/art/artists/kellock-brown-67
68,"Burne-Jones, Sir Edward Coley, Bt",M,1833,1898,Birmingham,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-edward-coley-burne-jones-bt-68
69,"Burnet, James",M,1788,1816,Musselburgh,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-burnet-69
70,"Burton, William Shakespeare",M,1824,1916,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-shakespeare-burton-70
71,"Butler, Elizabeth",F,1846,1933,Lausanne,Schweiz,Éire,Unknown,http://www.tate.org.uk/art/artists/elizabeth-butler-lady-butler-71
72,"Butler, Mildred Anne",F,1858,1941,Thomastown,Éire,Thomastown,Éire,http://www.tate.org.uk/art/artists/mildred-anne-butler-72
73,"Butler, Samuel",M,1835,1902,Nottinghamshire,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/samuel-butler-73
74,"Buvelot, Louis",M,1814,1888,Morges,Schweiz,Melbourne,Australia,http://www.tate.org.uk/art/artists/louis-buvelot-74
75,"Cain, Neville",M,1855,1935,Louisville,United States,Louisville,United States,http://www.tate.org.uk/art/artists/neville-cain-75
76,"Caldecott, Randolph",M,1846,1886,Chester,United Kingdom,Saint Augustine,United States,http://www.tate.org.uk/art/artists/randolph-caldecott-76
77,"Calderon, Philip Hermogenes",M,1833,1898,Poitiers,France,London,United Kingdom,http://www.tate.org.uk/art/artists/philip-hermogenes-calderon-77
78,"Callcott, Sir Augustus Wall",M,1779,1844,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-augustus-wall-callcott-78
79,"Callow, William",M,1812,1908,Greenwich,United Kingdom,Buckinghamshire,United Kingdom,http://www.tate.org.uk/art/artists/william-callow-79
80,"Calthrop, Claude",M,1845,1893,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/claude-calthrop-80
81,"Calvert, Edward",M,1799,1883,Devon,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/edward-calvert-81
82,"Campion, George B.",M,1796,1870,Unknown,Unknown,München,Deutschland,http://www.tate.org.uk/art/artists/george-b-campion-82
83,"Carline, George",M,1855,1920,Lincoln,United Kingdom,Assisi,Italia,http://www.tate.org.uk/art/artists/george-carline-83
84,"Carlisle, George Howard, Ninth Earl of",M,1843,1911,London,United Kingdom,Surrey,United Kingdom,http://www.tate.org.uk/art/artists/george-howard-ninth-earl-of-carlisle-84
85,"Carter, Hugh",M,1837,1903,Birmingham,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/hugh-carter-85
86,"Carter, Samuel John",M,1835,1892,Swaffham,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/samuel-john-carter-86
87,"Cattermole, George",M,1800,1868,Norfolk,United Kingdom,Clapham,United Kingdom,http://www.tate.org.uk/art/artists/george-cattermole-87
88,"Chalon, Henry Bernard",M,1770,1849,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/henry-bernard-chalon-88
89,"Chambers, George",M,1803,1840,Whitby,United Kingdom,Brighton,United Kingdom,http://www.tate.org.uk/art/artists/george-chambers-89
90,"Chantrey, Sir Francis Legatt",M,1781,1841,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-francis-legatt-chantrey-90
91,"Charles, James",M,1851,1906,Warrington,United Kingdom,Denbighshire,United Kingdom,http://www.tate.org.uk/art/artists/james-charles-91
92,"Chinnery, George",M,1774,1852,London,United Kingdom,Macau,Unknown,http://www.tate.org.uk/art/artists/george-chinnery-92
93,"Churchyard, Thomas",M,1798,1865,Suffolk,United Kingdom,Woodbridge,Unknown,http://www.tate.org.uk/art/artists/thomas-churchyard-93
94,"Chéron, Louis",M,1660,1725,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/louis-cheron-94
95,"Clark, Joseph",M,1834,1926,Dorset,United Kingdom,Ramsgate,United Kingdom,http://www.tate.org.uk/art/artists/joseph-clark-95
96,"Clausen, Sir George",M,1852,1944,London,United Kingdom,Newbury,United Kingdom,http://www.tate.org.uk/art/artists/sir-george-clausen-96
97,"Clint, Alfred",M,1807,1883,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/alfred-clint-97
98,"Clint, George",M,1770,1854,London,United Kingdom,Kensington,Unknown,http://www.tate.org.uk/art/artists/george-clint-98
99,"Cole, George Vicat",M,1833,1893,Portsmouth,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/george-vicat-cole-99
100,"Collier, Edward",M,1662,1708,Breda,Nederland,London,United Kingdom,http://www.tate.org.uk/art/artists/edward-collier-100
101,"Collier, The Hon. John",M,1850,1934,London,United Kingdom,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/the-hon-john-collier-101
102,"Collier, Thomas",M,1840,1891,Glossop,United Kingdom,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/thomas-collier-102
103,"Collins, Charles",M,1680,1744,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/charles-collins-103
104,"Collins, Charles Allston",M,1828,1873,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/charles-allston-collins-104
105,"Collins, William",M,1788,1847,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/william-collins-105
106,"Colman, Samuel",M,1780,1845,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/samuel-colman-or-coleman-106
107,"Constable, George",M,1792,1878,Hampstead,United Kingdom,Saint John's Wood,United Kingdom,http://www.tate.org.uk/art/artists/george-constable-107
108,"Constable, John",M,1776,1837,Suffolk,United Kingdom,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/john-constable-108
109,"Constable, Lionel Bicknell",M,1828,1887,Hampstead,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/lionel-bicknell-constable-109
110,"Cooke, Edward William",M,1811,1880,London,United Kingdom,Groombridge,United Kingdom,http://www.tate.org.uk/art/artists/edward-william-cooke-110
111,"Cooper, Abraham",M,1787,1868,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/abraham-cooper-111
112,"Cooper, Thomas Sidney",M,1803,1902,Canterbury,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/thomas-sidney-cooper-112
113,"Copley, John Singleton",M,1738,1815,Boston,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-singleton-copley-113
114,"Corbet, Matthew Ridley",M,1850,1902,Lincolnshire,United Kingdom,Saint John's Wood,United Kingdom,http://www.tate.org.uk/art/artists/matthew-ridley-corbet-114
115,"Cotes, Francis",M,1726,1770,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/francis-cotes-115
116,"Cotman, John Sell",M,1782,1842,Norwich,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/john-sell-cotman-116
117,"Cox, David",M,1783,1859,Birmingham,United Kingdom,Birmingham,Unknown,http://www.tate.org.uk/art/artists/david-cox-117
118,"Cozens, Alexander",M,1717,1786,Rossiya,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/alexander-cozens-118
119,"Cozens, John Robert",M,1752,1797,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/john-robert-cozens-119
120,"Cranch, John",M,1751,1821,Kingsbridge,United Kingdom,Bath,United Kingdom,http://www.tate.org.uk/art/artists/john-cranch-120
121,"Crane, Walter",M,1845,1915,Liverpool,United Kingdom,Horsham,United Kingdom,http://www.tate.org.uk/art/artists/walter-crane-121
122,"Creswick, Thomas",M,1811,1869,Sheffield,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/thomas-creswick-122
123,"Cristall, Joshua",M,1767,1847,Camborne,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/joshua-cristall-123
125,"Crome, John Berney",M,1794,1842,Norwich,United Kingdom,Great Yarmouth,United Kingdom,http://www.tate.org.uk/art/artists/john-berney-crome-125
126,"Crome, John",M,1768,1821,Norwich,United Kingdom,Norwich,United Kingdom,http://www.tate.org.uk/art/artists/john-crome-126
127,"Cruikshank, George",M,1792,1878,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/george-cruikshank-127
128,"Cumberland, George",M,1754,1849,London,United Kingdom,Bristol,United Kingdom,http://www.tate.org.uk/art/artists/george-cumberland-128
129,"Dadd, Frank",M,1851,1929,London,United Kingdom,Teignmouth,United Kingdom,http://www.tate.org.uk/art/artists/frank-dadd-129
130,"Dadd, Richard",M,1817,1886,Chatham,United Kingdom,Berkshire,United Kingdom,http://www.tate.org.uk/art/artists/richard-dadd-130
131,"Dall, Nicholas Thomas",M,1748,1776,Danmark,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/nicholas-thomas-dall-131
132,"Dalziel, Edward Gurden",M,1849,1888,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/edward-gurden-dalziel-132
133,"Dalziel, Edward",M,1817,1905,Wooler,United Kingdom,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/edward-dalziel-133
134,"Dalziel, Thomas",M,1823,1906,Wooler,United Kingdom,Herne Bay,United Kingdom,http://www.tate.org.uk/art/artists/thomas-dalziel-134
135,"Danby, Francis",M,1793,1861,Wexford,Éire,Exmouth,United Kingdom,http://www.tate.org.uk/art/artists/francis-danby-135
136,"Dance-Holland, Sir Nathaniel",M,1735,1811,London,United Kingdom,Winchester,United Kingdom,http://www.tate.org.uk/art/artists/sir-nathaniel-dance-holland-136
137,"Daniell, Thomas",M,1749,1840,Chertsey,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/thomas-daniell-137
138,"Daniell, William",M,1769,1837,Chertsey,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/william-daniell-138
139,"Davis, Henry William Banks",M,1833,1914,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-william-banks-davis-139
140,"Davis, John Scarlett",M,1804,1845,Leominster,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/john-scarlett-davis-140
141,"Davis, William",M,1812,1873,Dublin,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/william-davis-141
142,"Dawe, George",M,1781,1829,London,Unknown,Greater London,United Kingdom,http://www.tate.org.uk/art/artists/george-dawe-142
143,"Dayes, Edward",M,1763,1804,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/edward-dayes-143
144,"Delamotte, William Alfred",M,1775,1863,Weymouth,United Kingdom,Oxford,United Kingdom,http://www.tate.org.uk/art/artists/william-alfred-delamotte-144
145,"De Loutherbourg, Philip James",M,1740,1812,Basel,Schweiz,Chiswick,United Kingdom,http://www.tate.org.uk/art/artists/philip-james-de-loutherbourg-145
146,"Des Granges, David",M,1611,1675,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/david-des-granges-146
147,"Deverell, Walter Howell",M,1827,1854,Charlottesville,United States,London,United Kingdom,http://www.tate.org.uk/art/artists/walter-howell-deverell-147
148,"De Wint, Peter",M,1784,1849,Stone,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/peter-de-wint-148
149,"Dicksee, Sir Frank",M,1853,1928,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-frank-dicksee-149
150,"Dighton, William Edward",M,1822,1853,Unknown,Unknown,Hampstead,United Kingdom,http://www.tate.org.uk/art/artists/william-edward-dighton-150
151,"Dixon, William",M,1784,1834,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-dixon-151
152,"Dobson, William Charles Thomas",M,1817,1898,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-charles-thomas-dobson-152
153,"Dobson, William",M,1611,1646,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/william-dobson-153
154,"Donaldson, Andrew Brown",M,1840,1919,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/andrew-brown-donaldson-154
155,"Doughty, William",M,1757,1782,York,United Kingdom,Lisboa,Portugal,http://www.tate.org.uk/art/artists/william-doughty-155
156,"Douglas, Edwin",M,1848,1914,Edinburgh,United Kingdom,Sussex,United Kingdom,http://www.tate.org.uk/art/artists/edwin-douglas-156
157,"Douglas, Sir William Fettes",M,1822,1891,Edinburgh,United Kingdom,Newburgh,United Kingdom,http://www.tate.org.uk/art/artists/sir-william-fettes-douglas-157
158,"Downard, Ebenezer Newman",M,1849,1889,Brighton,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/ebenezer-newman-downard-158
159,"Downman, John",M,1750,1824,Ruabon,United Kingdom,Wrexham,United Kingdom,http://www.tate.org.uk/art/artists/john-downman-159
160,"Doyle, John",M,1797,1868,Dublin,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/john-doyle-160
161,"Dressler, Conrad",M,1856,1940,London,United Kingdom,Loire,France,http://www.tate.org.uk/art/artists/conrad-dressler-161
162,"Dupont, Gainsborough",M,1754,1797,Unknown,Unknown,London,United Kingdom,http://www.tate.org.uk/art/artists/gainsborough-dupont-162
163,"Drury, Alfred",M,1856,1944,London,United Kingdom,Wimbledon,United Kingdom,http://www.tate.org.uk/art/artists/alfred-drury-163
164,"Dyce, William",M,1806,1864,Aberdeen,United Kingdom,Streatham,United Kingdom,http://www.tate.org.uk/art/artists/william-dyce-164
165,"East, Sir Alfred",M,1849,1913,Kettering,United Kingdom,Kettering,United Kingdom,http://www.tate.org.uk/art/artists/sir-alfred-east-165
166,"Eastlake, Sir Charles Lock",M,1793,1865,Plymouth,Unknown,England,United Kingdom,http://www.tate.org.uk/art/artists/sir-charles-lock-eastlake-166
167,"Edridge, Henry",M,1769,1821,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/henry-edridge-167
168,"Edwards, Edwin",M,1823,1879,Framlingham,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/edwin-edwards-168
169,"Egg, Augustus Leopold",M,1816,1863,London,United Kingdom,Alger,Al-Jaza'ir,http://www.tate.org.uk/art/artists/augustus-leopold-egg-169
170,"Egley, William Maw",M,1826,1916,London,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/william-maw-egley-170
171,"Elmore, Alfred",M,1815,1881,Clonakilty,Éire,Unknown,Unknown,http://www.tate.org.uk/art/artists/alfred-elmore-171
172,"Etty, William",M,1787,1849,York,United Kingdom,York,United Kingdom,http://www.tate.org.uk/art/artists/william-etty-172
173,"Eworth, Hans",M,1540,1573,Antwerpen,België,Unknown,Unknown,http://www.tate.org.uk/art/artists/hans-eworth-173
174,"Faed, Thomas",M,1826,1900,Gatehouse of Fleet,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/thomas-faed-174
175,"Fagan, Robert",M,1745,1816,London,United Kingdom,Roma,Italia,http://www.tate.org.uk/art/artists/robert-fagan-175
176,"Farington, Joseph",M,1747,1821,England,United Kingdom,Didsbury,Canada,http://www.tate.org.uk/art/artists/joseph-farington-176
177,"Farquharson, David",M,1839,1907,Perth,Unknown,Perth and Kinross,United Kingdom,http://www.tate.org.uk/art/artists/david-farquharson-177
178,"Farquharson, Joseph",M,1847,1935,Edinburgh,United Kingdom,Edinburgh,United Kingdom,http://www.tate.org.uk/art/artists/joseph-farquharson-178
179,"Ferguson, William Gow",M,1633,1695,Scotland,United Kingdom,Scotland,United Kingdom,http://www.tate.org.uk/art/artists/william-gow-ferguson-179
180,"Ferneley, John, I",M,1782,1860,Leicestershire,United Kingdom,Melton Mowbray,Unknown,http://www.tate.org.uk/art/artists/john-ferneley-i-180
181,"Ferneley, John, II",M,1815,1862,Melton Mowbray,United Kingdom,Manchester,United Kingdom,http://www.tate.org.uk/art/artists/john-ferneley-ii-181
182,"Fielding, Anthony Vandyke Copley",M,1787,1855,England,United Kingdom,Worthing,Unknown,http://www.tate.org.uk/art/artists/anthony-vandyke-copley-fielding-182
183,"Fildes, Sir Luke",M,1843,1927,Liverpool,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/sir-luke-fildes-183
184,"Fisher, Mark",M,1841,1923,Boston,United States,Unknown,Unknown,http://www.tate.org.uk/art/artists/mark-fisher-184
185,"Fitzgerald, John Anster",M,1819,1906,Unknown,Unknown,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-anster-fitzgerald-185
186,"Flaxman, John",M,1755,1826,York,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/john-flaxman-186
187,"Florence, Mary Sargant",M,1857,1954,London,United Kingdom,Twickenham,United Kingdom,http://www.tate.org.uk/art/artists/mary-sargant-florence-187
188,"Foley, John Henry",M,1818,1874,Dublin,Éire,London,United Kingdom,http://www.tate.org.uk/art/artists/john-henry-foley-188
189,"Forbes, Elizabeth",F,1859,1912,Ottawa,Canada,Newlyn,United Kingdom,http://www.tate.org.uk/art/artists/elizabeth-forbes-189
190,"Forbes, Stanhope Alexander",M,1857,1947,Dublin,Éire,Newlyn,United Kingdom,http://www.tate.org.uk/art/artists/stanhope-alexander-forbes-190
191,"Ford, Edward Onslow",M,1852,1901,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/edward-onslow-ford-191
192,"Foster, Myles Birket",M,1825,1899,Tynemouth,United Kingdom,Weybridge,United Kingdom,http://www.tate.org.uk/art/artists/myles-birket-foster-192
193,"Fraser, Alexander",M,1786,1865,Edinburgh,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/alexander-fraser-193
194,"Frith, William Powell",M,1819,1909,Ripon,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/william-powell-frith-194
195,"Frost, William Edward",M,1810,1877,London,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/william-edward-frost-195
196,"Fuller, Isaac",M,1606,1672,Greifswald,Deutschland,Dresden,Deutschland,http://www.tate.org.uk/art/artists/isaac-fuller-196
197,"Fulleylove, John",M,1845,1908,Leicester,United Kingdom,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-fulleylove-197
198,"Fuseli, Henry",M,1741,1825,Zürich,Schweiz,London,United Kingdom,http://www.tate.org.uk/art/artists/henry-fuseli-198
199,"Gainsborough, Thomas",M,1727,1788,Sudbury,United Kingdom,London,United Kingdom,http://www.tate.org.uk/art/artists/thomas-gainsborough-199
